,VCCS Course,VCCS Description,W&M Course Code,W&M Course Title,W&M Description
627,PED 160 MODERN DANCE,"Teaches the basic techniques of creative dance. Skills include self-expression, contemporary routines, dance forms, and basic choreography.",DANC 111,Modern I,ALV Designed for the student with little or no dance background. Introduces dance as an art form and as a means of expression through both the study of movement fundamentals and creative work. Course may be repeated with instructor permission
628,PED 161 DANCE PRODUCTION I,"Focuses on creating a dance performance. Teaches the basic skills in creating and producing a dance. Includes lighting, costumes, music, and choreography.  Part I of II.",DANC 301,Practicum in Dance,"ALV Designed to provide an opportunity for students to fulfill needs in dance-related areas of movement experience such as improvisation, partnering, effort/shape, performance skills, teaching skills, body therapies, interdisciplinary creative work, intensive work with technique, and community outreach activities. Course may be repeated for a maximum of 6 credits"
629,PED 163 JAZZ I,"Introduces dance through contemporary jazz movements. Includes floor stretches, isolations, dance patterns and locomotor movements.  Part I of II.",DANC 264,Intermediate Jazz,"ALV Explores jazz dance as an art form and as a means of expression through technical and creative work (choreography, improvisation). The study of various jazz and musical theatre dance styles will reflect the history of jazz and popular music."
630,PED 164 JAZZ II,Description not found,DANC 264,Intermediate Jazz,"ALV Explores jazz dance as an art form and as a means of expression through technical and creative work (choreography, improvisation). The study of various jazz and musical theatre dance styles will reflect the history of jazz and popular music."
631,PED 166 BALLET,Teaches ballet as a discipline with correct alignment and ballet form. Expresses movement through traditional dance form with choreographic emphasis.,DANC 261,Intermediate Ballet,ALV Designed to strengthen technical skill at an intermediate level. Explores ballet as an art form and as a means of expression through both the development of a movement style and creative work.
632,PED 220 ADULT HEALTH AND DEVELOPMENT,"Provides direct application of the theories of aging and physical activity. Teaches techniques for developing appropriate individualized fitness and activity programs for older adults. Focuses on physical, social, and mental well-being. Includes assessment and evaluation of physical fitness principles, role of exercise in disease prevention, leadership skills and communication strategies.",,,
633,PHY 100 ELEMENTS OF PHYSICS,"Covers basic concepts of physics, including Newtonian mechanics, properties of matter, heat transfer, waves, fundamental behavior of gases, optics, ionizing radiation, and fundamentals of electricity and magnetism. The assignments in the course require college-level reading fluency,  coherent written communication, application of  arithmetic, exponents, and algebraic skills such as solving for an unknown variable in an equation, and finding the slope and intercept from the equation of a line. This is a Passport and UCGS transfer course.",,,
634,PHY 101 INTRODUCTION TO PHYSICS I,Description not found,PHYS 107,Physics for the Life Sciences I,"NQR PHYS 107-108 is a two-semester algebra-based sequence designed to cover the fundamental concepts of physics for students in the life sciences, including pre-meds. Emphasis is placed on Newtonian mechanics, fluids and waves. High school science as well as algebra and trigonometry are assumed. Co-registration in the laboratory PHYS 107L is not required, but strongly encouraged. Students may receive credit for only one of PHYS 101, 101H, or 107. Note: PHYS 101"
635,PHY 102 INTRODUCTION TO PHYSICS II,Description not found,PHYS 108,Physics for the Life Sciences II,"Prerequisite(s): PHYS 107 NQR PHYS 107-108 is a two-semester algebra-based sequence designed to cover the fundamental concepts of physics for students in the life sciences, including pre-meds. Emphasis is placed on thermodynamics, electric and magnetic fields, simple circuits, optics and some modern physics. High school science as well as algebra and trigonometry are assumed. Co-registration in the laboratory PHYS 108L is not required, but strongly encouraged. Students may receive credit for only one of PHYS 102, 102H, or 108."
636,PHY 121 PRINCIPLES OF PHYSICS I,Description not found,PHYS 107,Physics for the Life Sciences I,"NQR PHYS 107-108 is a two-semester algebra-based sequence designed to cover the fundamental concepts of physics for students in the life sciences, including pre-meds. Emphasis is placed on Newtonian mechanics, fluids and waves. High school science as well as algebra and trigonometry are assumed. Co-registration in the laboratory PHYS 107L is not required, but strongly encouraged. Students may receive credit for only one of PHYS 101, 101H, or 107. Note: PHYS 101"
637,PHY 122 PRINCIPLES OF PHYSICS II,Description not found,PHYS 108,Physics for the Life Sciences II,"Prerequisite(s): PHYS 107 NQR PHYS 107-108 is a two-semester algebra-based sequence designed to cover the fundamental concepts of physics for students in the life sciences, including pre-meds. Emphasis is placed on thermodynamics, electric and magnetic fields, simple circuits, optics and some modern physics. High school science as well as algebra and trigonometry are assumed. Co-registration in the laboratory PHYS 108L is not required, but strongly encouraged. Students may receive credit for only one of PHYS 102, 102H, or 108."
638,PHY 130 SURVEY OF APPLIED PHYSICS,Description not found,,,
639,PHY 131 APPLIED PHYSICS I,"Emphasizes application of topics such as precision measurement, statics, dynamics, energy, momentum, properties of matter, heat, sound, optics, and electricity and magnetism. Prerequisites high school algebra, geometry and trigonometry, or equivalent or divisional approval. Part I of II. This course applies to career/technical education (CTE) programs.PHY 100serves both transfer and CTE programs.",PHYS 107,Physics for the Life Sciences I,"NQR PHYS 107-108 is a two-semester algebra-based sequence designed to cover the fundamental concepts of physics for students in the life sciences, including pre-meds. Emphasis is placed on Newtonian mechanics, fluids and waves. High school science as well as algebra and trigonometry are assumed. Co-registration in the laboratory PHYS 107L is not required, but strongly encouraged. Students may receive credit for only one of PHYS 101, 101H, or 107. Note: PHYS 101"
640,PHY 132 APPLIED PHYSICS II,Description not found,PHYS 108,Physics for the Life Sciences II,"Prerequisite(s): PHYS 107 NQR PHYS 107-108 is a two-semester algebra-based sequence designed to cover the fundamental concepts of physics for students in the life sciences, including pre-meds. Emphasis is placed on thermodynamics, electric and magnetic fields, simple circuits, optics and some modern physics. High school science as well as algebra and trigonometry are assumed. Co-registration in the laboratory PHYS 108L is not required, but strongly encouraged. Students may receive credit for only one of PHYS 102, 102H, or 108."
